,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played
0,0,0,15946,217,3501,Philippe Coutinho Correia,Philippe Coutinho,7,False,0,Substitute,47
1,1,1,15946,217,5203,Sergio Busquets i Burgos,Sergio Busquets,5,True,9,Right Defensive Midfield,84
2,2,2,15946,217,5211,Jordi Alba Ramos,Jordi Alba,18,True,6,Left Back,92
3,3,3,15946,217,5213,Gerard Piqué Bernabéu,Gerard Piqué,3,True,3,Right Center Back,92
4,4,4,15946,217,5246,Luis Alberto Suárez Díaz,Luis Suárez,9,True,22,Right Center Forward,92
5,5,5,15946,217,5470,Ivan Rakitić,,4,True,11,Left Defensive Midfield,92
6,6,6,15946,217,5477,Ousmane Dembélé,,11,True,16,Left Midfield,76
7,7,7,15946,217,5492,Samuel Yves Umtiti,Samuel Umtiti,23,True,5,Left Center Back,92
8,8,8,15946,217,5503,Lionel Andrés Messi Cuccittini,Lionel Messi,10,True,24,Left Center Forward,92
9,9,9,15946,217,6374,Nélson Cabral Semedo,Nélson Semedo,2,True,2,Right Back,45
10,10,10,15946,217,6379,Sergi Roberto Carnicer,Sergi Roberto,20,True,12,Right Midfield,92
11,11,11,15946,217,8206,Arturo Erasmo Vidal Pardo,Arturo Vidal,22,False,0,Substitute,8
12,12,12,15946,217,11392,Arthur Henrique Ramos de Oliveira Melo,Arthur,8,False,0,Substitute,16
13,13,13,15946,217,20055,Marc-André ter Stegen,Marc-André ter Stegen,1,True,1,Goalkeeper,92
14,14,14,15946,206,6566,Borja González Tomás,Borja Bastón,18,False,0,Substitute,25
15,15,15,15946,206,6581,Jonathan Rodríguez Menéndez,Jony,23,True,16,Left Midfield,67
16,16,16,15946,206,6612,Rubén Duarte Sánchez,Rubén Duarte,3,True,6,Left Back,92
17,17,17,15946,206,6613,Rubén Sobrino Pozuelo,Rubén Sobrino,7,True,23,Center Forward,70
18,18,18,15946,206,6615,Víctor Laguardia Cisneros,Víctor Laguardia,5,True,3,Right Center Back,92
19,19,19,15946,206,6617,Ibai Gómez Pérez,Ibai Gómez,11,True,12,Right Midfield,92
20,20,20,15946,206,6618,Martín Aguirregabiria Padilla,Martín Aguirregabiria,21,True,2,Right Back,92
21,21,21,15946,206,6624,Jorge Franco Alviz,Burgui,14,False,0,Substitute,22
22,22,22,15946,206,6626,Mubarak Wakaso,,22,True,13,Right Center Midfield,92
23,23,23,15946,206,6629,Fernando Pacheco Flores,Fernando Pacheco,1,True,1,Goalkeeper,92
24,24,24,15946,206,6632,Manuel Alejandro García Sánchez,Manu García,19,True,15,Left Center Midfield,92
25,25,25,15946,206,6839,Daniel Alejandro Torres Rojas,Dani Torres,16,True,10,Center Defensive Midfield,67
26,26,26,15946,206,6855,Guillermo Alfonso Maripán Loaysa,Guillermo Maripán,6,True,5,Left Center Back,92
27,27,27,15946,206,6935,Adrián Marín Gómez,Adrián Marín,17,False,0,Substitute,25
28,0,0,15956,217,3109,Malcom Filipe Silva de Oliveira,Malcom,14,False,0,Substitute,11
29,11,11,15956,217,6616,Munir El Haddadi Mohamed,Munir El Haddadi,19,False,0,Substitute,4
30,14,14,15956,901,6742,Sergio Gontán Gallardo,Keko,24,False,0,Substitute,31
31,15,15,15956,901,6760,Enes Ünal,,9,True,22,Right Center Forward,69
32,16,16,15956,901,7699,Daniele Verde,,11,False,0,Substitute,8
33,17,17,15956,901,8419,Duje Čop,,20,False,0,Substitute,25
34,18,18,15956,901,11291,Laureano Antonio Villa Suárez,Toni Suárez,19,True,19,Center Attacking Midfield,86
35,19,19,15956,901,11293,Fernando Calero Villa,Fernando Calero,5,True,5,Left Center Back,94
36,20,20,15956,901,11294,Borja Fernández Fernández,Borja Fernández,8,True,10,Center Defensive Midfield,63
37,21,21,15956,901,11296,Óscar Plano Pedreño,Óscar Plano,10,True,24,Left Center Forward,94
38,22,22,15956,901,11297,Javier Moyano Lujano,Javi Moyano,17,True,2,Right Back,94
39,23,23,15956,901,11298,José Ignacio Martínez García,Nacho Martínez,22,True,6,Left Back,94
40,24,24,15956,901,11300,Rubén Alcaraz Jiménez,Rubén Alcaraz,14,True,15,Left Center Midfield,94
41,25,25,15956,901,11302,Jordi Masip López,Jordi Masip,1,True,1,Goalkeeper,94
42,26,26,15956,901,11303,Anuar Mohamed Tuhami,Anuar Tuhami,23,True,13,Right Center Midfield,94
43,27,27,15956,901,11304,Francisco José Olivas Alba,Kiko Olivas,4,True,3,Right Center Back,94
44,10,10,15973,217,6826,Clément Lenglet,,15,False,0,Substitute,29
45,14,14,15973,902,6734,Luis Carlos Correia Pinto,Luisinho,16,True,6,Left Back,93
46,15,15,15973,902,6788,Xabier Etxeita Gorritxategi,Xabier Etxeita,3,True,5,Left Center Back,93
47,16,16,15973,902,6857,Rúben Afonso Borges Semedo,Rúben Semedo,4,False,0,Substitute,29
48,17,17,15973,902,9747,Axel Werner,,1,True,1,Goalkeeper,93
49,18,18,15973,902,11669,Gonzalo Julián Melero Manzanares,Gonzalo Melero,8,True,11,Left Defensive Midfield,93
50,19,19,15973,902,11671,Juan Camilo Hernández Suárez,Cucho Hernández,9,True,24,Left Center Forward,70
51,20,20,15973,902,11672,Samuele Longo,,12,True,22,Right Center Forward,57
52,21,21,15973,902,11673,Alejandro Gallar Falguera,Álex Gallar,11,True,12,Right Midfield,64
53,22,22,15973,902,11674,Damián Marcelo Musto,Damián Musto,23,True,9,Right Defensive Midfield,93
54,23,23,15973,902,11675,Moisés Gómez Bordonado,Moi Gómez,6,True,16,Left Midfield,93
55,24,24,15973,902,11676,Jorge Miramón Santagertrudis,Jorge Miramón,24,True,2,Right Back,93
56,25,25,15973,902,11677,Jorge Pulido Mayoral,Jorge Pulido,14,True,3,Right Center Back,93
57,26,26,15973,902,11678,Luis Ezequiel Ávila,Chimy Ávila,19,False,0,Substitute,23
58,27,27,15973,902,12554,Serdar Gürler,,21,False,0,Substitute,36
59,0,0,15978,210,3042,Mikel Merino Zazón,Mikel Merino,8,False,0,Substitute,12
60,1,1,15978,210,5573,Héctor Alfredo Moreno Herrera,Héctor Moreno,6,True,5,Left Center Back,94
61,2,2,15978,210,6605,Joseba Zaldúa Bengoetxea,Joseba Zaldúa,2,True,2,Right Back,94
62,3,3,15978,210,6669,David Zurutuza Veillet,David Zurutuza,17,True,16,Left Midfield,73
63,4,4,15978,210,6671,Asier Illarramendi Andonegi,Asier Illarramendi,4,True,11,Left Defensive Midfield,82
64,5,5,15978,210,6676,Igor Zubeldia Elorza,Igor Zubeldía,5,True,9,Right Defensive Midfield,94
65,6,6,15978,210,6679,Aritz Elustondo Irribaria,Aritz Elustondo,15,True,3,Right Center Back,94
66,7,7,15978,210,6685,Mikel Oyarzabal Ugarte,Mikel Oyarzabal,10,True,12,Right Midfield,94
67,8,8,15978,210,6694,Gerónimo Rulli,Gero Rulli,1,True,1,Goalkeeper,94
68,9,9,15978,210,6695,Juan Miguel Jiménez López,Juanmi,7,True,24,Left Center Forward,94
69,10,10,15978,210,6704,Theo Bernard François Hernández,Theo Hernández,19,True,6,Left Back,94
70,11,11,15978,210,6899,Rubén Pardo Gutiérrez,Rubén Pardo,14,True,22,Right Center Forward,82
71,12,12,15978,210,6906,Jon Bautista Orgilles,Jon Bautista,21,False,0,Substitute,21
72,13,13,15978,210,16210,Luca Sangalli Fuentes,Luca Sangalli,23,False,0,Substitute,12
73,25,25,15978,217,6998,Rafael Alcântara do Nascimento,Rafinha,12,True,15,Left Center Midfield,57
74,14,14,15986,211,6351,Cristhian Ricardo Stuani Curbelo,Cristhian Stuani,7,True,24,Left Center Forward,96
75,15,15,15986,211,6560,Marc Muniesa Martínez,Marc Muniesa,20,True,8,Left Wing Back,96
76,16,16,15986,211,6565,Pere Pons Riera,Pere Pons,8,True,10,Center Defensive Midfield,96
77,17,17,15986,211,6567,Borja García Freire,Borja García,10,False,0,Substitute,51
78,18,18,15986,211,6570,Alejandro Granell Nogué,Álex Granell,6,True,13,Right Center Midfield,74
79,19,19,15986,211,6572,Juan Pedro Ramírez López,Juanpe,15,True,5,Left Center Back,96
80,20,20,15986,211,6573,Bernardo José Espinosa Zúñiga,Bernardo Espinosa,2,True,4,Center Back,96
81,21,21,15986,211,6574,Douglas Luiz Soares de Paulo,Douglas Luiz,12,False,0,Substitute,22
82,22,22,15986,211,6578,Francesc Aday Benítez Caraballo,Aday Benítez,11,True,7,Right Wing Back,96
83,23,23,15986,211,6579,Pedro Alcalá Guirado,Pedro Alcalá,5,True,3,Right Center Back,96
84,24,24,15986,211,6582,Cristian Portugués Manzanera,Portu,9,True,22,Right Center Forward,87
85,25,25,15986,211,6785,Yassine Bounou,,13,True,1,Goalkeeper,96
86,26,26,15986,211,6888,Aleix García Serrano,Aleix García,23,True,15,Left Center Midfield,45
87,27,27,15986,211,17276,Seydou Doumbia,,22,False,0,Substitute,9
88,10,10,15998,217,6332,Thomas Vermaelen,,24,True,6,Left Back,70
89,14,14,15998,205,3991,Allan Romeo Nyom,Allan Nyom,12,False,0,Substitute,9
90,15,15,15998,205,6301,Youssef En-Nesyri,,26,True,23,Center Forward,93
91,16,16,15998,205,6598,Unai Bustinza Martínez,Unai Bustinza,3,True,4,Center Back,93
92,17,17,15998,205,6599,Rubén Salvador Pérez Del Mármol,Rubén Pérez,21,True,15,Left Center Midfield,93
93,18,18,15998,205,6601,Raúl García Carnero,Raúl García,14,True,5,Left Center Back,93
94,19,19,15998,205,6608,Nabil El Zhar,,10,True,17,Right Wing,84
95,20,20,15998,205,6610,Iván Cuéllar Sacristán,Pichu,1,True,1,Goalkeeper,93
96,21,21,15998,205,6666,Sabin Merino Zuloaga,Sabin Merino,18,False,0,Substitute,12
97,22,22,15998,205,6667,Mikel Vesga Arruti,Mikel Vesga,23,True,13,Right Center Midfield,81
98,23,23,15998,205,6738,Juan Francisco Moreno Fuertes,Juanfran,2,True,7,Right Wing Back,93
99,24,24,15998,205,6834,Gerard Gumbau Garriga,Gerard Gumbau,6,False,0,Substitute,20
100,25,25,15998,205,11730,Jonathan Cristian Silva,Jonathan Silva,5,True,8,Left Wing Back,93
101,26,26,15998,205,16212,Óscar Rodríguez Arnaiz,Óscar Rodríguez,27,True,21,Left Wing,73
102,27,27,15998,205,17818,Rodrigo Tarín Higón,Rodri Tarín,28,True,3,Right Center Back,93
103,0,0,16010,215,3023,Yuri Berchiche Izeta,Yuri Berchiche,12,True,16,Left Midfield,94
104,1,1,16010,215,6389,Mikel San José Domínguez,Mikel San José,6,False,0,Substitute,27
105,2,2,16010,215,6390,Markel Susaeta Laskurain,Markel Susaeta,14,True,12,Right Midfield,94
106,3,3,16010,215,6391,Raúl García Escudero,Raúl García,22,True,22,Right Center Forward,94
107,4,4,16010,215,6393,Iñaki Williams Arthuer,Iñaki Williams,9,True,24,Left Center Forward,79
108,5,5,16010,215,6394,Aritz Aduriz Zubeldia,Aritz Aduriz,20,False,0,Substitute,15
109,6,6,16010,215,6396,Beñat Etxebarria Urkiaga,Beñat Etxebarria,7,True,11,Left Defensive Midfield,67
110,7,7,16010,215,6649,Óscar de Marcos Arana,De Marcos,18,True,2,Right Back,94
111,8,8,16010,215,6665,Íñigo Martínez Berridi,Íñigo Martínez,4,True,5,Left Center Back,22
112,9,9,16010,215,6775,Daniel García Carrillo,Dani García,16,True,9,Right Defensive Midfield,94
113,10,10,16010,215,6789,Mikel Balenziaga Oruesagasti,Mikel Balenziaga,24,True,6,Left Back,94
114,11,11,16010,215,6877,Yeray Álvarez López,Yeray Álvarez,5,True,3,Right Center Back,94
115,12,12,16010,215,11744,Peru Nolaskoain Esnal,Peru Nolaskoain,31,False,0,Substitute,72
116,13,13,16010,215,11748,Unai Simón Mendibil,Unai Simón,25,True,1,Goalkeeper,94
117,0,0,16023,207,3437,Francis Joseph Coquelin,,17,False,0,Substitute,13
118,1,1,16023,207,3457,Michy Batshuayi Tunga,Michy Batshuayi,23,True,22,Right Center Forward,93
119,2,2,16023,207,4367,Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,7,True,16,Left Midfield,11
120,3,3,16023,207,5186,Denis Cheryshev,,11,False,0,Substitute,82
121,4,4,16023,207,5718,Rodrigo Moreno Machado,Rodrigo,19,False,0,Substitute,25
122,5,5,16023,207,6401,Kevin Gameiro,Kévin Gameiro,9,True,24,Left Center Forward,68
123,6,6,16023,207,6583,Carlos Soler Barragán,Carlos Soler,8,True,12,Right Midfield,93
124,7,7,16023,207,6589,Geoffrey Kondogbia,,6,True,11,Left Defensive Midfield,80
125,8,8,16023,207,6590,Norberto Murara Neto,Neto,13,True,1,Goalkeeper,93
126,9,9,16023,207,6595,Daniel Parejo Muñoz,Dani Parejo,10,True,9,Right Defensive Midfield,93
127,10,10,16023,207,6596,José Luis Gayà Peña,José Gayá,14,True,6,Left Back,93
128,11,11,16023,207,6746,Gabriel Armando de Abreu,Gabriel Paulista,5,True,5,Left Center Back,93
129,12,12,16023,207,6891,Ezequiel Marcelo Garay,Ezequiel Garay,24,True,3,Right Center Back,93
130,13,13,16023,207,11634,Cristiano Piccini,,21,True,2,Right Back,93
131,14,14,16029,213,3610,Roque Mesa Quevedo,Roque Mesa,7,False,0,Substitute,25
132,15,15,16029,213,5218,André Miguel Valente Silva,André Silva,12,True,22,Right Center Forward,81
133,16,16,16029,213,5504,Éver Maximiliano David Banega,Éver Banega,10,True,10,Center Defensive Midfield,96
134,17,17,16029,213,5534,Simon Thorup Kjær,Simon Kjær,4,True,4,Center Back,56
135,18,18,16029,213,5742,Gabriel Iván Mercado,Gabriel Mercado,25,False,0,Substitute,40
136,19,19,16029,213,6334,Luis Fernando Muriel Fruto,Luis Muriel,14,False,0,Substitute,15
137,20,20,16029,213,6719,Franco Damián Vázquez,Franco Vázquez,22,True,15,Left Center Midfield,71
138,21,21,16029,213,6720,Pablo Sarabia García,Pablo Sarabia,17,True,13,Right Center Midfield,96
139,22,22,16029,213,6723,Wissam Ben Yedder,,9,True,24,Left Center Forward,96
140,23,23,16029,213,6804,Sergi Gómez Solà,Sergi Gómez,3,True,5,Left Center Back,96
141,24,24,16029,213,6821,Jesús Navas González,Jesús Navas,16,True,7,Right Wing Back,96
142,25,25,16029,213,6825,Daniel Filipe Martins Carriço,Daniel Carriço,6,True,3,Right Center Back,96
143,26,26,16029,213,6919,Guilherme Antonio Arana Lopes,Guilherme Arana,23,True,8,Left Wing Back,96
144,27,27,16029,213,11541,Tomáš Vaclík,,1,True,1,Goalkeeper,96
145,12,12,16056,217,13599,Carles Aleña Castillo,Carles Aleñà,26,False,0,Substitute,26
146,14,14,16056,218,3313,Giovani Lo Celso,,21,True,19,Center Attacking Midfield,87
147,15,15,16056,218,5214,William Silva de Carvalho,William Carvalho,14,True,11,Left Defensive Midfield,95
148,16,16,16056,218,5563,José Andrés Guardado Hernández,Andrés Guardado,18,True,9,Right Defensive Midfield,95
149,17,17,16056,218,5687,Takashi Inui,,8,False,0,Substitute,8
150,18,18,16056,218,6648,Aïssa Mandi,,23,True,3,Right Center Back,95
151,19,19,16056,218,6651,Joaquín Sánchez Rodríguez,Joaquín,17,True,24,Left Center Forward,62
152,20,20,16056,218,6657,Sergio León Limones,Sergio León,7,False,0,Substitute,19
153,21,21,16056,218,6658,Cristian Tello Herrera,Cristian Tello,11,True,7,Right Wing Back,95
154,22,22,16056,218,6673,Sergio Canales Madrazo,Sergio Canales,6,False,0,Substitute,33
155,23,23,16056,218,6777,Sidnei Rechel da Silva Júnior,Sidnei,12,True,5,Left Center Back,95
156,24,24,16056,218,6792,Pau López Sabata,Pau López,13,True,1,Goalkeeper,95
157,25,25,16056,218,7068,Marc Bartra Aregall,Marc Bartra,5,True,4,Center Back,95
158,26,26,16056,218,7910,Lorenzo Jesús Morón García,Loren Morón,16,True,22,Right Center Forward,76
159,27,27,16056,218,17304,Héctor Junior Firpo Adames,Junior Firpo,20,True,8,Left Wing Back,95
160,14,14,16073,212,3245,Thomas Lemar,,11,True,16,Left Midfield,65
161,15,15,16073,212,5198,Diego da Silva Costa,Diego Costa,19,True,24,Left Center Forward,81
162,16,16,16073,212,5199,Jorge Resurrección Merodio,Koke,6,True,12,Right Midfield,96
163,17,17,16073,212,5484,Lucas Hernández Pi,Lucas Hernandez,21,True,5,Left Center Back,96
164,18,18,16073,212,5487,Antoine Griezmann,,7,True,22,Right Center Forward,96
165,19,19,16073,212,5696,Santiago Arias Naranjo,Santiago Arias,4,True,2,Right Back,96
166,20,20,16073,212,6320,Filipe Luís Kasmirski,Filipe Luis,3,True,6,Left Back,96
167,21,21,16073,212,6376,Stefan Savić,,15,True,3,Right Center Back,96
168,22,22,16073,212,6377,Ángel Martín Correa,Ángel Correa,10,False,0,Substitute,15
169,23,23,16073,212,6378,Jan Oblak,,13,True,1,Goalkeeper,96
170,24,24,16073,212,6381,Saúl Ñíguez Esclapez,Saúl Ñíguez,8,True,15,Left Center Midfield,96
171,25,25,16073,212,6765,Rodrigo Hernández Cascante,Rodri,14,True,13,Right Center Midfield,96
172,26,26,16073,212,6841,Víctor Machín Pérez,Vitolo,23,False,0,Substitute,31
173,13,13,16079,222,3551,Karl Brillant Toko Ekambi,Karl Toko Ekambi,17,False,0,Substitute,15
174,14,14,16079,222,5688,Carlos Arturo Bacca Ahumada,Carlos Bacca,9,False,0,Substitute,27
175,15,15,16079,222,6737,Alfonso Pedraza Sag,Alfonso Pedraza,16,True,6,Left Back,93
176,16,16,16079,222,6752,Víctor Ruíz Torre,Víctor Ruíz,6,True,5,Left Center Back,93
177,17,17,16079,222,6753,Daniel Raba Antolín,Dani Raba,22,False,0,Substitute,6
178,18,18,16079,222,6755,Sergio Asenjo Andrés,Sergio Asenjo,1,True,1,Goalkeeper,93
179,19,19,16079,222,6762,Álvaro González Soberón,Álvaro González,3,True,3,Right Center Back,93
180,20,20,16079,222,6764,Pablo Fornals Malla,Pablo Fornals,8,True,16,Left Midfield,93
181,21,21,16079,222,6766,Gerard Moreno Balaguero,Gerard Moreno,7,True,23,Center Forward,78
182,22,22,16079,222,6771,Manuel Trigueros Muñoz,Manu Trigueros,14,True,13,Right Center Midfield,66
183,23,23,16079,222,6772,Mario Gaspar Pérez Martínez,Mario Gaspar,2,True,2,Right Back,93
184,24,24,16079,222,11385,Santiago Cáseres,,5,True,10,Center Defensive Midfield,93
185,25,25,16079,222,11386,Santiago Cazorla González,Santi Cazorla,19,True,15,Left Center Midfield,87
186,26,26,16079,222,16335,Samuel Chimerenka Chukwueze,Samuel Chukwueze,30,True,12,Right Midfield,93
187,0,0,16086,214,3236,Sergi Darder Moll,Sergi Darder,10,True,13,Right Center Midfield,75
188,1,1,16086,214,5598,Óscar Esau Duarte Gaitán,Óscar Duarte,6,True,5,Left Center Back,96
189,2,2,16086,214,6754,David López Silva,David López,15,True,3,Right Center Back,96
190,3,3,16086,214,6758,Víctor Sánchez Mata,Víctor Sánchez,4,True,21,Left Wing,96
191,4,4,16086,214,6761,Leonardo Carrilho Baptistão,Léo Baptistão,11,False,0,Substitute,38
192,5,5,16086,214,6767,Sergio García De La Fuente,Sergio García,9,False,0,Substitute,34
193,6,6,16086,214,6768,Diego López Rodríguez,Diego López,13,True,1,Goalkeeper,96
194,7,7,16086,214,6770,Esteban Félix Granero Molina,Esteban Granero,23,False,0,Substitute,21
195,8,8,16086,214,6791,Javier López Rodríguez,Javi López,16,True,2,Right Back,96
196,9,9,16086,214,6838,Hernán Arsenio Pérez González,Hernán Pérez,17,True,17,Right Wing,58
197,10,10,16086,214,6866,Marc Roca Junqué,Marc Roca,21,True,15,Left Center Midfield,96
198,11,11,16086,214,6886,Dídac Vilá Rosselló,Dídac Vilá,12,True,6,Left Back,96
199,12,12,16086,214,6902,Óscar Melendo Jiménez,Óscar Melendo,14,True,19,Center Attacking Midfield,62
200,13,13,16086,214,11391,Borja Iglesias Quintas,Borja Iglesias,7,True,23,Center Forward,96
201,23,23,16086,217,6609,Denis Suárez Fernández,Denis Suárez,6,False,0,Substitute,15
202,14,14,16095,221,4407,Sanjin Prcić,,8,False,0,Substitute,23
203,15,15,16095,221,6668,José Luis Morales Nogales,José Luis Morales,11,True,24,Left Center Forward,92
204,16,16,16095,221,6672,Jorge Andújar Moreno,Coke,12,False,0,Substitute,24
205,17,17,16095,221,6678,Emmanuel Okyere Boateng,Emmanuel Boateng,21,True,22,Right Center Forward,61
206,18,18,16095,221,6680,Rubén Rochina Naixes,Rubén Rochina,16,True,19,Center Attacking Midfield,68
207,19,19,16095,221,6682,Sergio Postigo Redondo,Sergio Postigo,15,True,4,Center Back,69
208,20,20,16095,221,6688,José Ángel Gómez Campaña,José Campaña,24,True,9,Right Defensive Midfield,92
209,21,21,16095,221,6691,David Remeseiro Salgueiro,Jason,23,True,7,Right Wing Back,92
210,22,22,16095,221,6692,Oier Olazábal Paredes,Oier Olazábal,13,True,1,Goalkeeper,92
211,23,23,16095,221,6782,Enis Bardhi,,10,True,11,Left Defensive Midfield,92
212,24,24,16095,221,6784,Antonio García Aranda,Toño,3,True,8,Left Wing Back,92
213,25,25,16095,221,6807,Roberto Suárez Pier,Rober,4,True,5,Left Center Back,92
214,26,26,16095,221,6809,Erick Cathriel Cabaco Almada,Erick Cabaco,18,True,3,Right Center Back,75
215,27,27,16095,221,21147,Borja Mayoral Moya,Borja Mayoral,2,False,0,Substitute,31
216,14,14,16109,209,3625,Sofiane Boufal,,19,True,16,Left Midfield,78
217,15,15,16109,209,5217,Iago Aspas Juncal,Iago Aspas,10,True,22,Right Center Forward,54
218,16,16,16109,209,5516,Pione Sisto Ifolo Emirmija,Pione Sisto,11,False,0,Substitute,18
219,17,17,16109,209,6297,Maximiliano Gómez González,Maxi Gómez,9,True,24,Left Center Forward,96
220,18,18,16109,209,6795,Rubén Blanco Veiga,Rubén Blanco,13,True,1,Goalkeeper,96
221,19,19,16109,209,6798,Stanislav Lobotka,,14,False,0,Substitute,51
222,20,20,16109,209,6799,Brais Méndez Portela,Brais Méndez,23,True,12,Right Midfield,96
223,21,21,16109,209,6805,Hugo Mallo Novegil,Hugo Mallo,2,True,2,Right Back,96
224,22,22,16109,209,6852,Jozabed Sánchez Ruiz,Jozabed Sánchez,21,True,11,Left Defensive Midfield,96
225,23,23,16109,209,6876,Róbert Mazáň,,15,True,6,Left Back,96
226,24,24,16109,209,11388,Néstor Alejandro Araújo Razo,Néstor Araujo,4,True,3,Right Center Back,96
227,25,25,16109,209,11389,Francisco José Beltrán Peinado,Fran Beltrán,8,False,0,Substitute,42
228,26,26,16109,209,12555,Okay Yokuşlu,,5,True,9,Right Defensive Midfield,45
229,27,27,16109,209,17804,David Costas Cordal,David Costas,3,True,5,Left Center Back,96
230,14,14,16120,216,4546,Dimitri Foulquier,,24,True,12,Right Midfield,57
231,15,15,16120,216,4712,Samuel Sáiz Alonso,Samuel Sáiz,11,False,0,Substitute,20
232,16,16,16120,216,6611,Ángel Luis Rodríguez Díaz,Ángel Rodríguez,9,True,22,Right Center Forward,73
233,17,17,16120,216,6619,Vitorino Gabriel Pacheco Antunes,Vitorino Antunes,3,True,6,Left Back,93
234,18,18,16120,216,6627,Damián Nicolás Suárez Suárez,Damián Suárez,22,True,2,Right Back,93
235,19,19,16120,216,6630,Jorge Molina Vidal,Jorge Molina,19,False,0,Substitute,36
236,20,20,16120,216,6634,Djené Dakonam Ortega,Djene Dakonam,2,True,3,Right Center Back,93
237,21,21,16120,216,6635,Leandro Daniel Cabrera Sasía,Leandro Cabrera,6,True,5,Left Center Back,93
238,22,22,16120,216,6722,David Soria Solís,David Soria,13,True,1,Goalkeeper,93
239,23,23,16120,216,6863,Mauro Wilney Arambarri Rosa,Mauro Arambarri,18,True,11,Left Defensive Midfield,93
240,24,24,16120,216,6873,Francisco Portillo Soler,Francisco Portillo,8,True,16,Left Midfield,83
241,25,25,16120,216,6901,Nemanja Maksimović,,20,True,9,Right Defensive Midfield,93
242,26,26,16120,216,11550,Jaime Mata Arnaiz,Jaime Mata,7,True,24,Left Center Forward,93
243,27,27,16120,216,18721,Robert Ibáñez Castro,Robert Ibáñez,17,False,0,Substitute,10
244,14,14,16131,322,6700,Sergio Enrich Ametller,Sergi Enrich,9,True,23,Center Forward,82
245,15,15,16131,322,6701,Joan Jordán Moreno,Joan Jordán,24,True,19,Center Attacking Midfield,93
246,16,16,16131,322,6705,José Ángel Valdés Díaz,Cote,15,True,6,Left Back,93
247,17,17,16131,322,6709,Anaitz Arbilla Zabala,Anaitz Arbilla,23,True,3,Right Center Back,93
248,18,18,16131,322,6710,Rubén Peña Jiménez,Rubén Peña,11,True,2,Right Back,93
249,19,19,16131,322,6711,Enrique García Martínez,Kike,17,False,0,Substitute,17
250,20,20,16131,322,6712,Gonzalo Escalante,,5,True,9,Right Defensive Midfield,76
251,21,21,16131,322,6867,Papa Kouly Diop,Pape Diop,8,True,11,Left Defensive Midfield,93
252,22,22,16131,322,7105,Fabián Ariel Orellana Valenzuela,Fabián Orellana,14,True,17,Right Wing,93
253,23,23,16131,322,7907,Pedro Bigas Rigo,Pedro Bigas,3,True,5,Left Center Back,93
254,24,24,16131,322,8555,Pablo Ezequiel De Blasis,Pablo de Blasis,16,False,0,Substitute,30
255,25,25,16131,322,10763,Asier Riesgo Unamuno,Asier Riesgo,13,True,1,Goalkeeper,93
256,26,26,16131,322,13108,Marc Cardona Rovira,Marc Cardona,7,False,0,Substitute,11
257,27,27,16131,322,17620,Marc Cucurella Saseta,Marc Cucurella,20,True,21,Left Wing,63
258,15,15,16136,205,4447,Martin Braithwaite Christensen,Martin Braithwaite,25,True,23,Center Forward,78
259,16,16,16136,205,5830,Kenneth Josiah Omeruo,Kenneth Omeruo,24,True,4,Center Back,98
260,18,18,16136,205,6580,José Luis García del Pozo,Recio,8,True,9,Right Defensive Midfield,98
261,19,19,16136,205,6603,Dimitrios Siovas,,22,True,5,Left Center Back,98
262,20,20,16136,205,6606,Javier Eraso Goñi,Javi Eraso,17,False,0,Substitute,12
263,25,25,16136,205,11745,Michael Nicolás Santos Rosadilla,Michael Santos,20,False,0,Substitute,20
264,24,24,16149,211,7578,Anthony Rubén Lozano Colón,Anthony Lozano,19,False,0,Substitute,14
265,25,25,16149,211,11292,Pedro Antonio Porro Sauceda,Pedro Porro,24,True,7,Right Wing Back,94
266,26,26,16149,211,22129,Valery Fernández Estrada,Valery Fernández,34,True,8,Left Wing Back,94
267,27,27,16149,211,23264,Seung-Ho Paik,Paik Seung-Ho,35,False,0,Substitute,8
268,18,18,16157,207,6587,Antonio Latorre Grueso,Toni Lato,15,True,6,Left Back,94
269,21,21,16157,207,6594,Santiago Mina Lorenzo,Santi Mina,22,False,0,Substitute,14
270,24,24,16157,207,6748,Ferrán Torres García,Ferrán Torres,20,False,0,Substitute,55
271,25,25,16157,207,6797,Daniel Wass,,18,True,12,Right Midfield,94
272,7,7,16173,215,6662,Iago Herrerín Buisán,Iago Herrerín,13,True,1,Goalkeeper,95
273,11,11,16173,215,6842,Iker Muniain Goñi,Iker Muniain,10,False,0,Substitute,34
274,13,13,16173,215,8540,Kenan Kodro,,2,False,0,Substitute,7
275,11,11,16182,217,8668,Kevin-Prince Boateng,,19,True,23,Center Forward,59
276,20,20,16182,901,11301,Miguel Alfonso Herrero Javaloyas,Míchel,21,True,11,Left Defensive Midfield,94
277,24,24,16182,901,17027,Sergio Guardiola Navarro,Sergi Guardiola,12,True,24,Left Center Forward,94
278,25,25,16182,901,18164,Antonio Jesús Regal Angulo,Antoñito,18,True,7,Right Wing Back,94
279,26,26,16182,901,22020,Joaquín Fernández Moreno,Joaquín Fernández,2,True,3,Right Center Back,94
280,27,27,16182,901,23492,Stiven Ricardo Plaza Castillo,Stiven Plaza,42,False,0,Substitute,19
