,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played
5785,17,17,68324,206,25970,Rubén Navarro Méndez,Rubén Navarro,9,False,0,Substitute,24
5786,18,18,68324,206,25972,Elton Giovanni Machado,Élton Giovanni,14,False,0,Substitute,38
5787,19,19,68324,206,25974,Franco Costanzo,,1,True,1,Goalkeeper,95
5788,20,20,68324,206,25975,Blagoy Georgiev,,7,True,12,Right Midfield,57
5789,21,21,68324,206,25977,Alejandro Castro Fernández,Jandro,21,True,15,Left Center Midfield,95
5790,22,22,68324,206,25979,Eduardo Alonso Álvarez,Edu Alonso,17,True,2,Right Back,95
5791,23,23,68324,206,25981,Santiago Carpintero Fernández,Santiago Carpintero,15,True,13,Right Center Midfield,95
5792,24,24,68324,206,25983,Josu Sarriegi Zumárraga,Josu Sarriegi,5,True,3,Right Center Back,95
5793,25,25,68324,206,25985,David Coromina Pararols,David Coromina,2,True,6,Left Back,95
5794,26,26,68324,206,25987,Rodolfo Bodipo Díaz,Rodolfo Bodipo,19,True,24,Left Center Forward,95
5795,15,15,68325,1043,7069,Miguel Ángel Moyà Rumbo,Miguel Ángel Moyá,1,True,1,Goalkeeper,90
5796,17,17,68325,1043,25989,Antoni Lluis Adrover Colom,Tuni,15,False,0,Substitute,12
5797,18,18,68325,1043,25990,Alejandro Campano Hernando,Alejandro Campano,7,False,0,Substitute,12
5798,19,19,68325,1043,25991,Eduardo Nicolás Tuzzio,Eduardo Tuzzio,20,True,3,Right Center Back,72
5799,20,20,68325,1043,25992,José Carlos de Araújo Nunes,José Nunes,16,True,5,Left Center Back,90
5800,21,21,68325,1043,25993,Yoshito Ōkubo,,17,True,19,Center Attacking Midfield,90
